"Adrien"|" Plagg, claws out!"
"Adrien"|" Uh?Plagg? Plagg!"
"Adrien"|" Great, but there's no time to talk cheese."
"Alec"|" Welcome to the finals of our KIDZ+ competition! When today, one lucky winner will be announced as our brand new KIDZ+ weather girl!"
"Alec"|" We started off with 5000 contestants. But with the help of our audience at home, we whittled our talent down to just these two amazing young ladies! So, let's welcome our fantastic finalists! To my right, Aurore Beauréal, and to my left, Mireille Caquet! Who will be the lucky winner? Vote now! Text 1 for Aurore and 2 for Mireille. And remember, standard text messaging rates apply."
"Alec"|" This is the moment we've been waiting for! The viewers at home have made their decision, and the new KIDZ+ weather girl is..."
"Alec"|" Mireille!"
"Alec"|"Man, she crushed you, eh? Better luck next time!"
"Alec"|" What's the big deal? You only lost by half a million votes!"
"Alya"|" Hey, I got a huge scoop for you. Guess who's on a photoshoot in the park?"
"Alya"|" As we speak!"
"Alya"|" The same thing as usual:\"I... uhhh... dahee... wha... ahh...\""
"Alya"|" And who's she?"
"Alya"|" Let me guess. Another \"you couldn't say no\" favor?"
"Alya"|" Look, no problem! I'll look after your little detail for you."
"Alya"|"You're just a pushover, Marinette. I have to babysit my sisters all the time, which makes me an expert in dealing with angels."
"Alya"|" I'm a mythical unicorn from the world of Reespa, disguised as a totally fabulous human girl! I grant magical wishes, but only to little monkeys who behave!"
"Alya"|" Okay, let's all go to the park!"
"Alya"|" Then what?"
"Alya"|" Let's just start with happen to be passing by and see if we can get to that smoothie."
"Alya"|" Um, we couldn't be more invisible."
"Alya"|" Yeah, I saw it too. Pretty normal, since we're in the same class. "
"Alya"|" Come on, small fry! I'll get you that balloon!"
"Alya"|" But what about Adrien?"
"Alya"|" Who, me?"
"Alya"|" Uh... Hah! You don't want me, I... uhh... I think I'm having an allergic reaction to this apple.I know jutht the perthon you need! Hold that thought! "
"Alya"|" They need an extra to pose with Adrien!"
"Alya"|" Go on! What are you waiting for?!"
"Alya"|" You take care of Prince Charming, and I'll take care of Miss Unicorn here. You don't know how to control her anyway."
"Alya"|" Trust me. Unicorns unite! Let's go to Rispa and find us some sad little village kids and grant those wishes! Yee-haw!"
"Alya"|" Lemonade, crunchy ice, hit it once, hit it twice, freeze!"
"Alya"|" It's... the big goblin king! He ate too much and split his shirt! Wahahaha! "
"Alya"|" Wanna hear a story? "
"Alya"|" Then the cyclops monster picked the princess up in his hand and said, \"Look into my eye!\"Then, gluck! She stuck a finger right in it! As soon as she took a bite of the cursed potato, the poor princess fell into a deep, deep sleep.Hurry up, Ladybug... "
"Alya"|" And after defeating the three-headed dragon with...Huh?...Taekwondo..."
"Alya"|" Princess kissed her Prince Charming and..."
"Alya"|" Uh, sure. Until they had a dozen or so little monkeys like you who drove them crazy!"
"Aurore"|" Hi!"
"Aurore"|" "
"Aurore"|" Ughh... "
"Aurore"|"I should have won, I have the talent, the star looks, everything! But she took everything away from me. They took everything away from me! They"
"Aurore"|" Uh? Ah!"
"Aurore"|"Ngh! Ah! "
"Aurore"|" I should have won. Yes!"
"Aurore"|" Yes!"
"Aurore"|" Uh, what am I doing up here?"
"Cat Noir"|" Hey Ice Queen, what's with all the terrorizing? Why don't you pick on someone your own temperature?"
"Cat Noir"|" Listen. I'm feline more generous than usual today. So cool down and we'll call it quits, 'kay?"
"Cat Noir"|" Waaaaaahhh! "
"Cat Noir"|" Why thanks, my Ladybug, but I had it covered. "
"Cat Noir"|" You just won yourself a catfight!"
"Cat Noir"|" A little Cat Noir will take the wind out of her sails!"
"Cat Noir"|" You got a plan?"
"Cat Noir"|" Uhhhhh!"
"Cat Noir"|" Ow!"
"Cat Noir"|" Or she didn't pass her driving test!"
"Cat Noir"|" Already? But I look so good in a swimsuit. "
"Cat Noir"|"Hey! That girl reminds me of someone!"
"Cat Noir"|" Frosty the Snowgirl's getting away!Oh, do I hear a damsel in distress?"
"Cat Noir"|"No need to bug out. Just trust me!"
"Cat Noir"|" Duck!"
"Cat Noir"|" Heh-heh... "
"Cat Noir"|" Great. So, we're about to be obliterated, but... At least we'll be dry."
"Cat Noir"|" So what's the plan for getting the akuma back? My arm's starting to get a cramp!"
"Cat Noir"|" All right. Cataclysm?Hey, Coldilocks! Is that all you got?"
"Civilian"|" Where's Mireille?"
"Civilian"|" Here's another one!"
"Civilian"|" Run!"
"Civilians"|" Oh no! Ahh!"
"Firefighters"|" Yeah!"
"Hawk Moth"|"The vibrations are so strong, I can feel the eminent anger and sadness. The moment of weakness at my next victim... Such easy prey for my akuma. "
"Hawk Moth"|" So correct you are. You should have won. Yes..."
"Hawk Moth"|" Stormy Weather, I am Hawk Moth. I give you the power to seek revenge on them as my weather girl. All you have to do is bring me the Miraculous. Can you do that?"
"Hawk Moth"|" That's my weather girl. Show the world who the best weather girl really is!"
"Hawk Moth"|"You showed them all who the real winner is, my weather girl. But now is the time for you to fulfill your part of the agreement. And here's my plan."
"Hawk Moth"|" This is all going wonderfully according to plan. Soon their Miraculous will be mine. Bring them to me!"
"Hawk Moth"|" The time is now! Bring me the Miraculous!"
