"Marinette"|"Adrien"|0.608803868293762|" They're so in sync with each other."
"Adrien"|"Marinette"|0.502163767814636|"You're right. Someday I hope I'll find someone I can share everything with…like they do.But until my father starts letting me go out more often, that probably won't be happening."
"Marinette"|"Adrien"|-0.731830596923828|"Are you sure your dad won't let you come? It's such a bummer."
"Adrien"|"Nino"|-0.381761193275452|"You know how overprotective he is. One day he'll realize I'm not a child anymore, but we're not quite there yet. "
"Nino"|"Marinette"|0.656136512756348|" Big finish, here we go!"
"Marinette"|"Nino"|-0.237223148345947|" You don't wanna miss this. "
"Nino"|"Nora"|0.261122941970825|"Yeah! "
"Nora"|"Alya"|-0.186432898044586|" Aw, shoot. Did I miss the ballet?"
"Alya"|"Nora"|-0.16407573223114|" Nora, is your match over already?"
"Nora"|"Alya"|-0.182318806648254|"First round: total knockout. Huh-huh-huh.As usual.I told you a hundred times not to call me Nora in front of people, little sis.The name is Anansi, like a spider."
"Alya"|"Nora"|0.0543692111968994|" Sure, I'll call you Anansi when you stop calling me 'little sis'."
"Nora"|"Alya"|0.217986702919006|" Anyway, what are you all still doing here this late? Don't you have school tomorrow?"
"Alya"|"Nora"|0.438929319381714|" We're waiting for it to get dark. It's the World Cup fireworks show tonight, remember? We're gonna watch from the Ferris wheel."
"Nora"|"Marinette"|-0.540784746408463|"Oh no! Baguette and cappie can go with cellphone boy if they want, but you're staying here.It's way too dangerous."
"Marinette"|"Nino"|-0.622961282730103|" But Nora—I mean, Anansi, you can't do that!"
"Nino"|"Alya"|-0.586801618337631|" Yeah, no way dude, we're not going without Alya!"
"Alya"|"Nora"|-0.21133279800415|" Listen, I appreciate you worrying about me and all, but I'm not a little girl anymore. Besides, Mom and Dad are totally cool with it."
"Nora"|"Alya"|-0.533508867025375|" Tsk-tsk-tsk-tsk, there have been way too many akumatized peeps in Paris these last few weeks. Look how many times you've been in direct danger.So you're staying home, safe and sound, period!"
"Alya"|"Nora"|-0.754140853881836|" That's so ridiculous! The twins were akumatized right here at home. "
"Nora"|"Alya"|-0.733468651771545|" Well, that would've never happened on my watch. I won't let anybody mess with my family."
"Alya"|"Adrien"|-0.136602997779846|"You mean like the other day at the square?"
"Adrien"|"Marinette"|-0.688606411218643|"What happened?"
"Marinette"|"Nora"|-0.0554611682891846|" Well… we came across a man handing out flyersNora thought the man was akumatized and wanted to turn Alya into a banana-zombie."
"Nora"|"Marinette"|-0.773438647389412|" Uh...uh...how was I supposed to know it was some stupid costume? And besides, what would happen if the Ferris wheel stopped working 'cause some akumatized dude refused to pay his fare? Once you fly-weights can actually defend yourselves like mewe'll talk about it."
"Marinette"|"Nora"|-0.601961553096771|" It doesn't matter, because Ladybug and Cat Noir would save us if there were any problems."
"Nora"|"Nino"|-0.563074946403503|" Uh-huh. And what if Mister Whiskers is catching a mouse and that Beetle's been sprayed with bug spray? What do you do then? "
"Nino"|"Nora"|0.534590482711792|" I can protect Alya if I have to."
"Nora"|"Nino"|-0.576387345790863|" Oh yeah? And how exactly are you planning to defeat the villain? A dance-off? "
"Nino"|"Nora"|-0.14518404006958|"I'd… do anything to protect Alya. "
"Nora"|"Alya"|0.0963623523712158|" Hmm, ha! Okay, Alya can go out with you guys…if… you beat me at an arm wrestle."
"Alya"|"Adrien"|-0.76210780441761|" Please, don't arm-wrestle on my account. I don't need to be protected."
"Adrien"|"Nino"|-0.722933351993561|"Nino, you don't stand a chance against Anansi; she's way too strong."
"Nino"|"Adrien"|0.115031003952026|"Hey, dude!"
"Adrien"|"Marinette"|-0.530187249183655|" Sorry, Nino; I'm sure we'll work something out."
"Marinette"|"Alya"|-0.339874744415283|" We gotta go, or else we'll miss the fireworks."
"Alya"|"Marinette and Nino"|-0.711454004049301|"Forget it; you guys go without me."
"Marinette and Nino"|"Marinette"|-0.515446186065674|" Huh?!"
"Marinette"|"Nino and Alya"|-0.645738959312439|" No way!Okay, Nino will arm-wrestle you."
"Nino and Alya"|"Marinette"|-0.612575769424438|" What? "
"Marinette"|"Alya"|0.541285753250122|" Nino will prove his worth to us that he can defend Alya and every one of us, because—"
"Alya"|"Marinette"|0.257256865501404|"Marinette, what are you doing?"
"Marinette"|"Nino"|0.293315291404724|"Don't worry, I got this.Because… uhh, because love and, uh, friendship, mmm, make your muscles bulge."
"Nino"|"Adrien"|0.373223423957825|"Yeah, thanks Marinette."
